Frame;CaptureTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazeOriginX;CombinedGazeOriginY;CombinedGazeOriginZ;HitPointX;HitPointY;HitPointZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2074053;1001005285624951809;(-0.13, 1.30, -0.22);(0.06967, -0.06981, 0.02698, 0.99476);VALID;0.01973026;0.1246123;0.9920093;-0.2220389;0.902113;-9.427498;-0.2102008;0.9768804;-8.832293;65.500;VALID;(0.028, 0.117, 0.993);(-0.034, 0.000, 0.000);0.359;4.556;4.556;VALID;(-0.060, 0.208, 0.976);(0.034, 0.000, 0.000);0.374;4.523;12.103;0.3626148;0
2074054;1001005285629952782;(-0.13, 1.30, -0.22);(0.06935, -0.06996, 0.02653, 0.99478);VALID;0.01924581;0.1236746;0.9921362;-0.2220389;0.902113;-9.427498;-0.2104914;0.9763177;-8.832216;65.500;VALID;(0.028, 0.115, 0.993);(-0.034, 0.000, 0.000);0.360;4.562;4.562;VALID;(-0.060, 0.208, 0.976);(0.034, 0.000, 0.000);0.374;4.523;12.103;0.3567935;0
2074056;1001005285639955123;(-0.13, 1.30, -0.22);(0.06937, -0.07028, 0.02624, 0.99477);VALID;0.0192857;0.1241636;0.9920743;-0.2220389;0.902113;-9.427498;-0.2104675;0.9766111;-8.832253;65.500;VALID;(0.028, 0.116, 0.993);(-0.034, 0.000, 0.000);0.361;4.579;4.579;VALID;(-0.061, 0.208, 0.976);(0.034, 0.000, 0.000);0.374;4.521;12.103;0.3591791;0
2074058;1001005285649961249;(-0.13, 1.30, -0.22);(0.06912, -0.07031, 0.02597, 0.99479);VALID;0.02145948;0.1275176;0.9916041;-0.2220389;0.902113;-9.427498;-0.2091632;0.9786235;-8.832536;65.500;VALID;(0.029, 0.120, 0.992);(-0.034, 0.000, 0.000);0.363;4.599;4.599;VALID;(-0.062, 0.207, 0.976);(0.034, 0.000, 0.000);0.374;4.522;12.103;0.3827277;0
2074061;1001005285664964704;(-0.13, 1.30, -0.22);(0.06857, -0.07045, 0.02570, 0.99482);VALID;0.02201663;0.133508;0.9908031;-0.2220389;0.902113;-9.427498;-0.2088289;0.9822178;-8.833016;65.500;VALID;(0.031, 0.125, 0.992);(-0.034, 0.000, 0.000);0.364;4.621;4.621;VALID;(-0.064, 0.207, 0.976);(0.034, 0.000, 0.000);0.374;4.528;12.103;0.4014098;0
2074063;1001005285674966366;(-0.13, 1.30, -0.22);(0.06818, -0.07049, 0.02541, 0.99486);VALID;0.02198628;0.1362153;0.9904352;-0.2220389;0.902113;-9.427498;-0.2088472;0.9838421;-8.833237;65.500;VALID;(0.031, 0.127, 0.991);(-0.034, 0.000, 0.000);0.366;4.639;4.639;VALID;(-0.065, 0.207, 0.976);(0.034, 0.000, 0.000);0.374;4.531;12.103;0.4112778;0
2074065;1001005285684967909;(-0.13, 1.30, -0.22);(0.06789, -0.07066, 0.02531, 0.99487);VALID;0.02207075;0.1377307;0.9902238;-0.2220389;0.902113;-9.427498;-0.2087965;0.9847513;-8.833364;65.500;VALID;(0.031, 0.129, 0.991);(-0.034, 0.000, 0.000);0.367;4.659;4.659;VALID;(-0.065, 0.207, 0.976);(0.034, 0.000, 0.000);0.374;4.531;12.103;0.4172086;0
2074068;1001005285699973629;(-0.13, 1.30, -0.22);(0.06735, -0.07048, 0.02523, 0.99492);VALID;0.02231917;0.1383756;0.9901283;-0.2220389;0.902113;-9.427498;-0.2086474;0.9851383;-8.833421;65.500;VALID;(0.031, 0.130, 0.991);(-0.034, 0.000, 0.000);0.369;4.680;4.680;VALID;(-0.066, 0.206, 0.976);(0.034, 0.000, 0.000);0.374;4.529;12.103;0.4262933;0
2074070;1001005285709982016;(-0.13, 1.30, -0.22);(0.06676, -0.07036, 0.02500, 0.99497);VALID;0.02236093;0.1384487;0.9901171;-0.2220389;0.902113;-9.427498;-0.2086224;0.9851822;-8.833427;65.500;VALID;(0.031, 0.131, 0.991);(-0.034, 0.000, 0.000);0.370;4.685;4.685;VALID;(-0.067, 0.205, 0.976);(0.034, 0.000, 0.000);0.374;4.529;12.103;0.4321065;0
2074072;1001005285719986918;(-0.13, 1.30, -0.22);(0.06650, -0.07035, 0.02498, 0.99499);VALID;0.02241968;0.1389187;0.99005;-0.2220389;0.902113;-9.427498;-0.2085871;0.9854642;-8.833467;65.500;VALID;(0.031, 0.131, 0.991);(-0.034, 0.000, 0.000);0.370;4.693;4.693;VALID;(-0.068, 0.205, 0.977);(0.034, 0.000, 0.000);0.375;4.544;12.103;0.4351679;0.2781327
